Date,Natural Gas
2000-09,5.199999809265137
2000-11,6.579999923706055
2000-12,9.774999618530273
2001-01,5.650000095367432
2001-02,5.244999885559082
2001-03,5.03000020980835
2001-05,3.9140000343322754
2001-06,3.0959999561309814
2001-08,2.380000114440918
2001-09,2.24399995803833
2001-10,3.2909998893737793
2001-11,2.7009999752044678
2001-12,2.569999933242798
2002-01,2.1500000953674316
2002-02,2.3550000190734863
2002-03,3.244999885559082
2002-04,3.765000104904175
2002-05,3.2170000076293945
2002-06,3.244999885559082
2002-07,2.9539999961853027
2002-08,3.2960000038146973
2002-10,4.156000137329102
2002-11,4.199999809265137
2003-01,5.605000019073486
2003-02,8.10099983215332
2003-03,5.059999942779541
2003-04,5.385000228881836
2003-05,6.25
2003-07,4.7179999351501465
2003-08,4.730999946594238
2003-09,4.829999923706055
2003-10,4.89300012588501
2003-11,4.925000190734863
2003-12,6.189000129699707
2004-01,5.396999835968018
2004-03,5.933000087738037
2004-04,5.861999988555908
2004-05,6.441999912261963
2004-06,6.15500020980835
2004-07,6.111999988555908
2004-09,6.795000076293945
2004-10,8.725000381469727
2004-11,7.619999885559082
2004-12,6.14900016784668
2005-01,6.321000099182129
2005-02,6.730000019073486
2005-03,7.6529998779296875
2005-04,6.585000038146973
2005-06,6.980999946594238
2005-07,7.885000228881836
2005-08,11.472000122070312
2005-09,13.920999526977539
2005-10,12.204999923706055
2005-11,12.630000114440918
2005-12,11.225000381469727
2006-02,6.714000225067139
2006-03,7.210000038146973
2006-04,6.554999828338623
2006-05,6.383999824523926
2006-06,6.085000038146973
2006-07,8.211000442504883
2006-08,6.047999858856201
2006-09,5.619999885559082
2006-11,8.843999862670898
2006-12,6.298999786376953
2007-01,7.666999816894531
2007-02,7.300000190734863
2007-03,7.730000019073486
2007-05,7.934999942779541
2007-06,6.7729997634887695
2007-08,5.4679999351501465
2007-09,6.869999885559082
2007-10,8.329999923706055
2007-11,7.302000045776367
2007-12,7.482999801635742
2008-01,8.074000358581543
2008-02,9.366000175476074
2008-03,10.10099983215332
2008-04,10.843000411987305
2008-05,11.70300006866455
2008-07,9.119000434875488
2008-08,7.942999839782715
2008-09,7.438000202178955
2008-10,6.7829999923706055
2008-11,6.510000228881836
2008-12,5.622000217437744
2009-01,4.416999816894531
2009-04,3.372999906539917
2009-05,3.8350000381469727
2009-06,3.8350000381469727
2009-07,3.6530001163482666
2009-08,2.9769999980926514
2009-09,4.841000080108643
2009-10,5.045000076293945
2009-12,5.572000026702881
2010-01,5.13100004196167
2010-02,4.813000202178955
2010-03,3.86899995803833
2010-04,3.9200000762939453
2010-05,4.341000080108643
2010-06,4.616000175476074
2010-07,4.922999858856201
2010-09,3.871999979019165
2010-10,4.038000106811523
2010-11,4.179999828338623
2010-12,4.40500020980835
2011-01,4.420000076293945
2011-02,4.0370001792907715
2011-03,4.388999938964844
2011-04,4.697999954223633
2011-06,4.374000072479248
2011-07,4.144999980926514
2011-08,4.053999900817871
2011-09,3.6659998893737793
2011-10,3.934000015258789
2011-11,3.549999952316284
2011-12,2.989000082015991
2012-02,2.615999937057495
2012-03,2.125999927520752
2012-05,2.421999931335449
2012-06,2.8239998817443848
2012-08,2.7990000247955322
2012-09,3.319999933242798
2012-10,3.691999912261963
2012-11,3.561000108718872
2012-12,3.3510000705718994
2013-01,3.3389999866485596
2013-02,3.4860000610351562
2013-03,4.02400016784668
2013-04,4.3429999351501465
2013-05,3.9839999675750732
2013-06,3.565000057220459
2013-07,3.446000099182129
2013-08,3.5810000896453857
2013-10,3.5810000896453857
2013-11,3.9539999961853027
2014-01,4.942999839782715
2014-02,4.609000205993652
2014-03,4.370999813079834
2014-04,4.815000057220459
2014-05,4.541999816894531
2014-07,3.8410000801086426
2014-08,4.065000057220459
2014-09,4.120999813079834
2014-10,3.872999906539917
2014-11,4.0879998207092285
2014-12,2.8889999389648438
2015-01,2.690999984741211
2015-04,2.750999927520752
2015-05,2.6419999599456787
2015-06,2.8320000171661377
2015-07,2.7160000801086426
2015-08,2.688999891281128
2015-09,2.5239999294281006
2015-10,2.321000099182129
2015-12,2.3369998931884766
2016-01,2.2980000972747803
2016-02,1.7109999656677246
2016-03,1.9589999914169312
2016-04,2.177999973297119
2016-06,2.9240000247955322
2016-07,2.875999927520752
2016-08,2.88700008392334
2016-09,2.9059998989105225
2016-10,3.0260000228881836
2016-11,3.3519999980926514
2016-12,3.7239999771118164
2017-02,2.7739999294281006
2017-03,3.190000057220459
2017-04,3.2760000228881836
2017-05,3.071000099182129
2017-06,3.0350000858306885
2017-07,2.7939999103546143
2017-08,3.0399999618530273
2017-09,3.006999969482422
2017-11,3.0250000953674316
2017-12,2.953000068664551
2018-01,2.994999885559082
2018-02,2.6670000553131104
2018-03,2.7330000400543213
2018-05,2.9519999027252197
2018-06,2.9240000247955322
2018-08,2.9159998893737793
2018-09,3.007999897003174
2018-10,3.260999917984009
2018-11,4.611999988555908
2018-12,2.940000057220459
2019-01,2.813999891281128
2019-02,2.812000036239624
2019-03,2.6619999408721924
2019-04,2.575000047683716
2019-05,2.4539999961853027
2019-06,2.308000087738037
2019-07,2.2330000400543213
2019-08,2.2850000858306885
2019-10,2.632999897003174
2019-11,2.2809998989105225
2020-01,1.840999960899353
2020-02,1.684000015258789
2020-04,1.9490000009536743
2020-05,1.8489999771118164
2020-06,1.7510000467300415
2020-07,1.7990000247955322
2020-08,2.630000114440918
2020-09,2.5269999504089355
2020-10,3.3540000915527344
2020-12,2.5390000343322754
2021-01,2.563999891281128
2021-02,2.7709999084472656
2021-03,2.6080000400543213
2021-04,2.930999994277954
2021-05,2.9860000610351562
2021-06,3.6500000953674316
2021-07,3.9140000343322754
2021-09,5.867000102996826
2021-10,5.426000118255615
2021-11,4.566999912261963
2021-12,3.7300000190734863
2022-01,4.874000072479248
2022-02,4.4019999504089355
2022-03,5.642000198364258
2022-04,7.24399995803833
2022-06,5.423999786376953
2022-07,8.229000091552734
2022-08,9.126999855041504
2022-09,6.765999794006348
2022-10,6.355000019073486
2022-11,6.929999828338623
2022-12,4.474999904632568
2023-02,2.746999979019165
2023-03,2.2160000801086426
2023-04,2.4100000858306885
2023-05,2.2660000324249268
2023-06,2.7980000972747803
2023-07,2.634000062942505
2023-08,2.7679998874664307
2023-09,2.928999900817871
2023-11,2.802000045776367
2023-12,2.5139999389648438
2024-01,2.7190001010894775
